,NB,DT,LR,KNN
No FS,0.7862068965517242,1.0,0.8482758620689655,1.0
IG (FRR),0.8,1.0,0.8068965517241379,1.0
GS (FSS),0.8344827586206897,0.8689655172413793,0.8413793103448276,0.8206896551724138
