,NB,DT,LR,KNN
No FS,86.58536585365853,82.92682926829268,89.02439024390245,85.36585365853658
IG (FRR),89.02439024390245,79.8048780487805,90.2439024390244,82.92682926829268
GS (FSS),90.2439024390244,91.15853658536585,89.9390243902439,85.97560975609755
