,NB,DT,LR,KNN
No FS,0.8081632653061225,1.0,0.8775510204081632,1.0
IG (FRR),0.8367346938775511,1.0,0.8653061224489796,1.0
GS (FSS),0.8612244897959184,0.8612244897959184,0.8693877551020408,1.0
