,NB,DT,LR,KNN
No FS,0.732620320855615,1.0,0.9358288770053476,1.0
IG (FRR),0.8502673796791443,1.0,0.93048128342246,1.0
GS (FSS),0.9090909090909091,0.9251336898395722,0.9411764705882353,0.8877005347593583
