,NB,DT,LR,KNN
No FS,0.6825396825396826,0.8253968253968254,0.8888888888888888,0.8571428571428571
IG (FRR),0.7619047619047619,0.8095238095238095,0.8888888888888888,0.8412698412698413
GS (FSS),0.8571428571428571,0.8888888888888888,0.8888888888888888,0.873015873015873
