,NB,DT,LR,KNN
No FS,0.7416762342135477,1.0,0.7772675086107922,1.0
IG (FRR),0.7405281285878301,0.9988518943742825,0.7703788748564868,0.9988518943742825
GS (FSS),0.7680826636050516,0.7853042479908151,0.7749712973593571,0.7600459242250287
