,NB,DT,LR,KNN
No FS,0.7285223367697594,0.697594501718213,0.7594501718213058,0.7079037800687286
IG (FRR),0.7319587628865979,0.6563573883161512,0.738831615120275,0.697594501718213
GS (FSS),0.7422680412371134,0.738831615120275,0.7250859106529209,0.7044673539518901
