,NB,DT,LR,KNN
No FS,0.9168207024029574,1.0,0.977818853974122,1.0
IG (FRR),0.9279112754158965,1.0,0.9759704251386322,1.0
GS (FSS),0.9759704251386322,0.9759704251386322,0.9759704251386322,0.9815157116451017
