,NB,DT,LR,KNN
No FS,0.9337016574585635,0.9613259668508287,0.9834254143646409,0.9779005524861878
IG (FRR),0.9392265193370166,0.9668508287292817,0.9779005524861878,0.9502762430939227
GS (FSS),0.9834254143646409,0.9834254143646409,0.9834254143646409,0.9779005524861878
